あわてます 慌てます 慌张，着急，匆忙，慌乱；惊慌失措
きょうし 教師 教师，老师
きょうじゅ 教授 教授；传授知识、技能等；大学教授这一职位
きょうざい 教材 教材；教学材料
きょうかしょ 教科書 名词，教科书；课本
きょういく 教育 教育；教导；培养
きょうくん 教訓 教训；训诫；告诫
きょうゆ 教諭 教诲，教导；（幼儿园、中小学的）正规教师
きょうよう 教養 教养，修养；素养；学识
ちらかす 散らかす 弄乱，乱扔；使分散，使散开
ちらかる 散らかる 零乱，杂乱，东西到处都是；分散，散布
ちらす 散らす 1. 驱散（人群）；2. 撒，散布（如粉末、种子等）；3. 传播（消息、谣言等）；4. 使分散，使散开
ちらばる 散らばる 分散；散乱，零乱；离散，失散
ちる 散る 凋谢；散落，分散；消散；散开；（人群等）散去
さんぽ 散歩 指随意地、悠闲地走动，即散步。
さんぽします 散歩します 散步，漫步；溜达。不限于在公园，可在各种场所进行。
さんぽする 散歩する 散步；漫步
うやまう 敬う 尊敬，敬重；敬畏；拜祭
けいぐ 敬具 用于书信结尾，表示敬上、谨启。
けいい 敬意 尊敬的心意；敬意
けいご 敬語 敬语，指在语言交流中表示尊敬、礼貌的语言表达方式。
けいえん 敬遠 敬而远之；回避；避免与之接触。
かず 数 名词，数量，数目；次数；命运，气数；（数学中的）数
かずかず 数々 许多，种种
かぞえる 数える 数，计算；列举，枚举；把……算作，认为
かぞえあげる 数え上げる 一一列举；逐个清点；数完；算清
すうち 数値 数值；数字
すうじ 数字 数字；数目
すうがく 数学 数学，是研究数量、结构、变化以及空间模型等概念的一门学科。
すうじつ 数日 名词，指几天、若干天
すうりょう＋で 数量+で 名[数量]＋で：表示以某一数量作为整体、限度或标准，可译为‘总共；用……（数量）；在……（数量）的情况下’等。
ととのいます 整います ①齐备，完备；②整齐，端正；③就绪，安排好
ととのう 整う （文章、服装、面容等）完整，整齐，端正；安排好，准备好；达成，谈妥
ととのえる 整える 1. 整理，收拾；2. 准备，筹备；3. 完善，完备
せいび 整備 （1）维修，整修（如道路、机械等）；（2）配备，配齐（物资、设备等）；（3）完善，整顿，筹备。
せいびふりょう 整備不良 名词，指设备、机械等的维修保养状况不佳，存在维修不到位、保养不充分等问题。
せいすう 整数 整数，即像-3、-2、-1、0、1、2、3等这样的数，没有小数部分
せいり 整理 整理，收拾；整顿；梳理（思路等）
せいりする 整理する 整理；收拾；整顿；归纳
せいとん 整頓 整顿，整理；使整齐有序。
せいはつりょう 整髪料 名词，指用于整理头发的各类产品，如整发液、发胶、发蜡等
てき 敵 敌人，敌；对手，敌手
かなう 敵う 敌得过，比得上；能抗衡，能对抗；能抵挡
しく 敷く ①铺，垫；②涂抹、涂敷；③布置、安排；④下赌注；⑤实施某种计策、办法。
しきち 敷地 地基；用地，地皮；建筑物等所占用的土地
しきい 敷居 门槛；（事物的）界限、限度
しききん 敷金 （租房等的）押金；保证金
ぶん 文 1. 句，句子；2. 文章；3. 书信；4. （数学中的）运算式
ぶんか 文化 名词，指人类在社会历史发展过程中所创造的物质财富和精神财富的总和。
ぶんかざい 文化財 文化遗产，指具有历史、艺术、学术等价值，被国家或地方公共团体指定并加以保护的物品、建筑物、遗址等。
もんく 文句 1. 意见，异议，牢骚；2. 词句，话语
ぶんけい 文型 句型，句子的类型和结构
もじ 文字 文字，字；文章；（表示特定意义的）符号
ぶんがく 文学 用语言文字形象化地反映客观现实的艺术，包括诗歌、散文、小说、戏剧等，文学
ぶんぼうぐ 文房具 文具；书写工具
ぶんめい 文明 名词，指人类社会发展到较高阶段并具有较高文化的状态；也指文化。
ぶんしょ 文書 文书，文件，公文；泛指各种书面材料
ぶんぽう 文法 名词，指语法；文章的法则
ぶんけん 文献 文献，参考资料
ぶんしょう 文章 文章；短文；作品
ぶんみゃく 文脈 文章或话语的脉络、前后文逻辑关系；语境
ぶんげい 文芸 文艺；文学与艺术
まだら 斑 斑点；斑纹；斑驳；不匀；参差不齐。
りょうり 料理 菜肴；做菜；烹饪；处理，办理
りょうりにん 料理人 名词，指厨师、炊事员
りょうきん 料金 费用；收费
ななめ 斜め 倾斜；歪斜；斜着；间接；侧面
かんせん 斡旋 从中调解、斡旋；介绍；周旋
ざんしん 斬新 新颖，崭新；具有独特、创新的特点，与传统或常见的事物有明显区别。
たちきる 断ち切る 切断；断绝（关系）；彻底戒掉、戒除；果断地处理、解决
たつ 断つ 切，断；断绝，截断；拒绝，推辞；断定，判断
ことわる 断る 1. 拒绝，谢绝；2. 预先通知；3. 断绝，戒除
だんこ 断固 断然，毅然；坚决；毫不含糊。表示态度坚定，毫不犹豫地做某事。
だんてい 断定 断定，判断；下结论
だんすい 断水 断水；停水
だんぜん 断然 断然；坚决；显然；绝对（不）
だんこう 断行 1. 断然实行，坚决实行；2. 换行
だんげん 断言 明确地说出自己的判断，断定、断言
だんめん 断面 断面，截面；剖面
あたらしい 新しい 新的；新鲜的；崭新的、未使用过的；刚出现、刚发生的；生疏、不熟悉的
あたらた 新た 新的；重新；再次；另；另外
しんじん 新人 新人，新手；新加入某个组织、团体的人
しんじんけんしゅう 新人研修 新员工培训
しんさく 新作 新作品，新创作；新款式；新出版的书籍、刊物等
しんにゅうしゃいん 新入社員 新入职的员工；新进入公司的职员
しんそつ 新卒 应届毕业生，通常指刚从学校毕业（如大学、高中等）进入社会求职或开始工作的人。
しんがた 新型 新型；新的类型
しんきょ 新居 新的住所；新家。
しんねん 新年 新年；正月
しんかんせん 新幹線 新干线，日本的高速铁路列车系统
しんしゅんのこう 新春の候 惯用语，用于书信等场合，表示时值新春，作为新春的问候语。
しんしゅんセール 新春セール 新年大甩卖，新春期间举办的促销活动
しんれき 新暦 名词，公历，阳历
しんきょう 新疆 中国的一个自治区，全称新疆维吾尔自治区，位于中国西北部，是一个多民族聚居和多种文化融合的地区。
しんぶん 新聞 报纸
しんぶんしゃ 新聞社 报社，报馆
しんぶんし 新聞紙 名 报纸；新闻纸
しんこう 新興 新兴；新出现并发展起来的
しんしゃ 新車 新车
しんろう 新郎 指结婚时的男性一方，即新郎
しんせん 新鮮 新鲜，鲜活；新颖，崭新；有生气，有活力
ほう 方 1. 方向，方面；2. 表示人的敬称；3. 方法，办法
かたがた 方々 名词。1. 各位，诸位；2. 各处，到处。
ほうい 方位 方位，方向
ほうこう 方向 方向；方位；方面
ほうしき 方式 方式，形式；方法
ほうほう 方法 方法；办法
ほうていしき 方程式 （数学）方程式，等式；（化学）反应式
ほうさく 方策 方法，策略；对策
ほうかく 方角 方向；方位
ほうげん 方言 名词，指某个地区特有的语言，即方言、地方话
ほうしん 方針 方针，方向；政策，计划
ほうめん 方面 方向；方面；领域
ほどこす 施す 1. 施加；给予。例：恩恵を施す（给予恩惠）。2. 实施；施行。例：治療を施す（进行治疗）。3. 散布；涂抹。例：肥料を施す（施肥）。
しさく 施策 对策，措施；指为了达到某种目的而采取的具体方法或行动
しこう 施行 实施，实行；执行；推行；施行。通常用于指按照规定、计划等进行某项行动或措施。
しせつ 施設 设施；设备
たび 旅 旅行，旅途；旅程；外出；远游
りょけん 旅券 护照；旅行证件
たびだつ 旅立つ 启程，出发；踏上旅途
りょこう 旅行 旅行；旅游；游历
りょこうよてい 旅行予定 旅行计划
りょこうだいりてん 旅行代理店 名词，指专门从事旅行相关业务的代理机构，即旅行社、旅游代理公司。
りょこうがいしゃ 旅行会社 旅行社；旅游公司
りょこうしゃ 旅行社 旅行社；旅游公司
りょこうしゃ 旅行者 旅行者；旅客
りょこうガイド 旅行ガイド 旅行导游；旅游向导
りょかん 旅館 （日式）旅馆
はた 旗 旗帜；旗子
きせい 既成 既成，现有，原有；已经形成的（事物、状态等）
にち；ひ 日 1. 太阳；2. 日子，日期；3. 白天，白昼；4. 一天，一昼夜
ひび 日々 名词，意为天天、每天；也可指过日子的时光、日子。
ひので 日の出 名词，日出；太阳升起的时刻
にっちゅう 日中 名词，指日本和中国；也可表示白天、白昼
ひづけ 日付 日期；年月日；填写日期
にっこう 日光 日光，阳光；日本栃木县的地名，以日光东照宫等著名的历史古迹和美丽的自然风光闻名
ひどり 日取り 日期，日子；日程
ひなた 日向 向阳处，太阳地儿；姓氏。
ひましに 日増しに 日益，一天天地
にちや 日夜 日夜；经常不断地，总是
ひざし 日差し 照射的阳光；阳光照射的程度
ひがえり 日帰り 当天往返；当日返回。通常用于描述旅行、外出等活动在一天内完成，不进行过夜停留。
にちじょう 日常 名词，指平常、日常的生活、事务等
にちじょうかいわ 日常会話 日常会话
ひあたり 日当たり 名词，指阳光照射；向阳处，采光情况
にちすう 日数 天数；日数
にちようび 日曜日 星期天
にほん、にっぽん 日本 日本，指位于东亚的一个岛国
にほんじん 日本人 指具有日本国籍的人，或在日本出生长大、认同日本文化及生活方式的人。
にほんれっとう 日本列島 名词，指日本列岛，是位于太平洋西岸的弧形列岛，包括北海道、本州、四国、九州四个大岛和其他众多小岛。
にほんぶんか 日本文化 指日本这个国家的文化，涵盖了日本的艺术、宗教、习俗、传统、文学、音乐、饮食等各个方面。
にほんりょうり 日本料理 日式饭菜；日本料理
にほんご 日本語 日语；日本的语言
にほんしゅ 日本酒 日本酿造的传统米酒，即清酒
にほんしょく 日本食 日本料理；日本食品
ひやけ 日焼け （皮肤）晒黑；（土地）晒干；日光浴；晒斑
ひでり 日照り 干旱；连日晴天
にってい 日程 日程；日期安排
にっけい 日系 指与日本相关的系列，如日资企业、日系产品等；在人员方面，指具有日本血统或与日本有渊源的人
にっき 日記 日记，指对每天所发生的事情的记录。
にっか 日課 每天的习惯活动；日常的功课；每日的例行事务
ひかげ 日陰 1. 阴凉处，背阴处；2. 比喻不显眼、不被关注的地方；3. 比喻见不得人的事情、阴暗面
ひごろ 日頃 平常，平时；日常
きゅうれき 旧暦 农历，阴历。一种根据月亮的运行规律制定的历法，与公历相对。
はやい 早い 早的；快的；时间尚早；提前
はやいこと 早いこと 赶快，迅速；尽早，尽快
はやく 早く （时间）早；（速度）快；尽早、赶快
はやく 早く、速く 早些；快些；迅速地；不久；很快
はやくとも 早くとも 最快也要；至少
はやめ 早め 提前；早些时候；快一些。
はやめに 早めに 提前，早些；尽早，尽快
はやめる 早める 提前；加快，提早；使……早点儿。
はやね 早寝 早睡，提前睡觉
はやねはやおき 早寝早起き 早睡早起
そうきゅう 早急 紧急，火速；立刻，马上
はやおき 早起き 名词，意为早起这一行为
そうたい 早退 提前离开，提早下班或放学等
そうたいします 早退します 提前下班；提前离开；早退
さっそく 早速 立刻，马上；迅速，赶快
おうせい 旺盛 旺盛，充沛；强烈，高涨
こんげき 昆劇 昆曲，昆剧，中国传统戏曲剧种之一，起源于元末明初的昆山一带，有“百戏之祖”的美称。
のぼる 昇る 升；上升；升级，高升；（价格、气温等）上涨；（太阳、月亮等）升起
しょうしん 昇進 晋级，升级，高升；晋升，升迁
あかす 明かす 说出；揭露，揭晓；（在某处）过夜；使明亮，照亮
あかり 明かり 灯；光线；光亮
あかる 明くる 下一个；次，翌，第二。通常用于表示时间的顺序，如某天、某季节之后紧接着到来的时间。
あける 明ける 1. （时间、季节等）结束，过去；2. 黎明，天亮；3. （隔扇、门等）开着
あけがた 明け方 名词，黎明，拂晓；天快亮的时候
あけくれる 明け暮れる 从早到晚；整天；时光流逝；日复一日地致力于，埋头于
あけわたす 明け渡す 让出，交出，移交；透露，说出
あきらか 明らか 明显的；清楚的；显然的
あかるい 明るい 明亮的；开朗的；响亮的；顺利的；光明的
あかるさ 明るさ 明亮；开朗，快活；清晰，鲜明
あさって 明後日 名词，后天
あした 明日 明天；将来
めいろう 明朗 开朗；明亮；乐观；公正无私
めいはく 明白 明白，明显；清楚，明确
めいりょう 明瞭 明了，清楚；清晰，明确
めいかく 明確 明确；清晰；确切
めいさい 明細 明细；清单；账目详情
やさしい 易い 容易的；简单的；轻松的；和蔼的；温柔的
やさしい 易しい 简单；容易；轻松；和蔼，温和；不严厉
むかし 昔 过去，从前；很久以前
ほし 星 星星；星球；明星
せいざ 星座 星座，天文学上指天上一群在天球上投影的位置相近的恒星的组合；也指占星学中按出生日期划分的十二个星宫。
ほしの 星野 星野，常见的姓氏或地名
ばえる 映える 1. 映照，反射；2. 显得好看，显眼，出色；3. 扬名，出名
うつす 映す （1）照；映，映照；投影。（2）摄影；拍摄。
うつる 映る 1. 映，照；2. 映入，映入眼帘；3. 反映，表现
えいぞう 映像 影像；图像；映像，特指电影、电视等呈现出的画面
えいしゃ 映写 放映；投影；映现
えいが 映画 电影；影片
えいがかんとく 映画監督 电影导演
えいがさい 映画祭 电影节；电影展
えいがかん 映画館 电影院
はる 春 春季；春天。也可引申为青春、美好的时光等。
はるさき 春先 初春，早春
はるまき 春巻 名词，指春卷，一种用薄面皮裹上蔬菜、肉类等食材后油炸或蒸熟的食品。
しゅんだん 春暖 春暖，春天温暖的气息
しゅんせつ 春節 名 春节，中国农历新年
さっこん 昨今 近来，最近
さくねん 昨年 去年；上一年
きのう 昨日 昨天
ゆうべ 昨晩 昨晚，昨夜
せいせい 是正 订正，更正；改正；纠正；校对；修正
ひる 昼 中午；白天
ひるごはん 昼ごはん 午饭；中餐
ひるごはん 昼ご飯 名词，指午饭
ひるやすみ 昼休み 午休，中午休息时间
ちゅうや 昼夜 白天和黑夜；日日夜夜
ひるね 昼寝 名词，指中午进行的休息睡眠，即午休、午睡、午觉。
ひるま 昼間 白天，白昼
ちゅうしょく 昼食 名词，指午餐、午饭
ひるご飯（ひるめし） 昼飯 午饭；中餐
とき 時 时候，时间；时光；时期；场合
ときどき 時々 时常，有时；偶尔
ときには 時には 有时；偶尔
ときはかねなり 時は金なり 惯用语，意为一寸光阴一寸金，时间就是金钱。强调时间的宝贵，提醒人们要珍惜时间，充分利用每一刻。
じだい 時代 时代；时期；年代
じこく 時刻 时刻，时间
じこくひょう 時刻表 时刻表，时间表
じさ 時差 时差
ときおり 時折 有时，偶尔
じき 時期 时期；季节
じき 時機 时机，机会
じてん 時点 时候，时间点；某个特定的时刻
じせつ 時節 时节，时令；时机，机会
じきゅう 時給 时薪，按小时计算的工资
とけい 時計 时钟，钟表；怀表
じそく0 時速 名词，指每小时行进的速度，时速。
じかん 時間 时间；工夫；时候；时刻；钟点；期限；期间
じかんにおわれる 時間に追われる 被时间追赶；时间紧迫，感觉时间不够用
じかんわり 時間割 时间表；课程表
じかんたい 0 時間帯 名 时间段，表示某一特定的时间范围。
さらす 晒す/曝す 暴晒；暴露；使……遭受；使……置身于；揭露，揭发
ばん 晩 表示时间，意为晚上、傍晚
ばんごはん 晩ごはん 晚餐；晚饭
ばんごはん 晩ご飯 晚饭；晚餐
ばんこん 晩婚 名词，指较晚结婚，晚婚
ばねん 晩年 晚年，老年，指人一生中的最后阶段
ばんさんかい 晩餐会 晚餐会；晚宴
ばん（よる）0 晩（夜） 晚上，夜晚；也可表示一天的后半部分
ふきゅう 普及 普及；推广；传播
ふきゅうします 普及します 普及；推广。表示某种事物或现象在广泛的范围内传播、流行起来。
ふだん 普段 平时，平常，日常
ふだんぎ 普段着 日常穿的衣服，便装
ふつう 普通 一般，普遍；平常，普通；通常
ふへん 普遍 广泛存在、具有共性，在多个个体或场合中都适用的状态或性质，普遍
ふへんてき 普遍的 具有普遍性的，广泛适用的
けいひん 景品 赠品；纪念品，礼品
けいき0 景気 1. 市场情况，商业状况，景气；2. 精神，情绪；3. 情形，情况
けしき 景色 名词，指风景、景色
はらす 晴らす 1. 解除，消除（心中的不快、烦恼等）；2. 使放晴；3. 使开朗，使舒畅
はれ 晴れ 晴天；天晴；晴朗；（心情等）开朗，舒畅
はれます 晴れます 天气放晴，天晴；心情开朗；（伤口等）愈合
はれる 晴れる （天气）放晴；（疑惑、愁容等）消散；（心情等）舒畅
はれあがる 晴れ上がる 1. （天气）放晴，晴朗；2. （心情、气氛等）好转，开朗起来；3. （问题、纠纷等）解决，结束。
はれはれしい 晴れ晴れしい 愉快的；明朗的；晴朗的；舒畅的
はれわたる 晴れ渡る 完全放晴；（天气、气氛等）晴朗、开朗；心情舒畅
せいてん 晴天 晴朗的天气；晴天
せいう 晴雨 晴天或雨天；天气情况
あかつき 暁 拂晓；黎明；（某一时期的）开始，⋯⋯之时，⋯⋯之际
ひま 暇 空闲；闲暇；有空
ひま［な］0 暇［な］ 空闲（的）；闲暇，清闲
あつい 暑い 形容天气炎热，也可用于形容物体温度高。
あつい 暑い、熱い “暑い”主要用于形容天气炎热；“熱い”可用于形容物体温度高、食物热，也可形容热情、激烈等抽象概念。
あつさ 暑さ 暑热，暑气；炎热的程度
あたたかい 暖かい 形容温度适宜，给人热乎、温暖的感觉；也可形容人的态度亲切、热情。
あたたかい 暖かい、温かい 表示温度适宜、不冷不热，可形容天气、物体、场所等的温度；也可比喻人的态度、感情等亲切、热情。
あたたかさ 暖かさ 名词，指温暖的程度，也可引申为热情、温情等
あたたまる 暖まる/温まる 天气等转暖、变暖和；身体、物体等变暖、变热；感情上变得温暖、受感动
あたためる 暖める 使暖和；加热，加温；使感到温暖；使兴奋，使激动
あたためる 暖める/温める 加热，使变暖；使气氛等融洽、活跃；使关系等缓和
だんぼう 暖房 供暖；供暖设备
のれん 暖簾 门帘，尤指商店挂的布帘；也可指代商店的信誉、招牌
くらい 暗い 昏暗；阴暗；模糊；心情忧郁等
あんしょう 暗唱 记住并背诵，默诵
あんさつ 暗殺 暗杀，行刺
あんじ 暗示 提示，暗示；通过言语或行为，不直接地表示某种意思。
あんざん 暗算 心算，在头脑中进行计算
あんき 暗記 记住，背诵；默记
あんきします 暗記します 记住，熟记，背诵
あんしょうばんごう 暗証番号 密码；取款密码；个人识别码
あんうん 暗雲 乌云；比喻形势险恶、情况不妙
あんもく 暗黙 默认，默契；沉默，不做声
こよみ 暦 日历；历书；历法
くらし 暮らし 生活，过日子；家境，家道；生计；生活方式
くらします 暮らします 生活；过日子；度过（时间）
くらす 暮らす 生活；度日；（在某处）居住；消磨（时间）
くれ 暮れ 黄昏；傍晚；（一年的）末尾，年终
くれる 暮れる 日暮，天黑；（时间）流逝，过去
あらわく 暴く 挖，掘；揭发，揭露；暴露，使……显露
あばれる 暴れる 胡闹，乱闹；横冲直撞；激烈活动；狂躁发作；汹涌，翻腾
ぼうりょく 暴力 名词，指武力、暴行；暴力行为
ぼうどう 暴動 指人群中的暴力行为和骚乱，即暴动、骚乱。
ぼうらく 暴落 暴跌；价格等急剧下降
ぼうこう 暴行 暴行，暴力行为；粗暴的行为
ばくろ 暴露 暴露，揭露，泄露；使暴露、揭露、泄露
ぼうふうう 暴風雨 暴风雨；狂风暴雨
ぼうふうせつ 暴風雪 暴风雪；狂风大雪
くもり 曇り 阴天；多云；模糊；朦胧
くもります 曇ります 天气转阴；变阴沉；（玻璃、镜子等）起雾，蒙上水汽
くもる 曇る ①天阴，多云；②（玻璃、镜子等）模糊，起雾；③（感情、脸色等）阴郁，郁闷
あいまい 曖昧 暧昧的，含糊的；不明确的，模棱两可的
きょく0 曲 1. 乐曲，歌曲；2. 弯曲，弯儿；3. （文章、故事等的）段落，章节
まがります 曲がります 转弯；弯曲；拐弯；曲折。如转向〔右边〕［みぎへ～］［右へ～］ ；道路弯曲等情况。
まがりかど 曲がり角 街角，拐角；转折点
まがる 曲がる 弯曲；拐弯；转弯；倾斜；歪曲；变弯；变形；（颜色）变深；（声音）走调
まげる【0】 曲げる 1. 弄弯，使弯曲；2. 歪曲，篡改；3. （价格、条件等）让，让价
きょくせん 曲線 曲线；弯曲的线条
ふける 更ける （季节）变深；（夜）深了；（年龄）增长
さらなる 更なる 更加，进一步，更进一步的，更深一层的
さらに 更に 更加；进一步；而且；并且
こうしん 更新 更新；刷新；革新，也可用于表示将信息、设备等进行重新设定和改进以使其保持最新状态。
かきます 書きます 书写；写
かきあげる 書き上げる 写完，写成；列出；完成书写工作等
かきとる 書き取る 记录；抄录；听写；边听边写
かきかた 書き方 书写方法；写法；书写方式
かきとめる 書き留める 记下来，写下来；记录，记下
かきなおす 書き直す 改写，重新写；誊写；修改，改正；重做
かきこむ 書き込む 写上，填写；（在网络上）发帖，留言
かきまちがえる 書き間違える 写错；写得不对
かく 書く 写；书写；记载；画；写作
かきはじめ 書初め 新春开笔，指新年第一次提笔写字，是一种传统习俗，寓意新的一年学业、工作顺利。
しょてん 書店 书店，售卖书籍的店铺
しょもつ 書物 书籍；图书
かきとめ 書留 挂号信；挂号邮件。
しょせき 書籍 书籍，图书
しょひょう 書評 书评，对书籍内容、价值等进行评论的文章
しょどう 書道 书法；书写艺术
しょめん 書面 书面；书信，信件
しょるい 書類 文件，资料；文书
かえご 替え芯 替换用的芯，备用芯
もっとも 最も 最；极其，非常
さいじょう 最上 最上面；最高，至上；最优，最好。
さいちゅう 最中 正在……之中；最盛时期；高潮
さいてい0 最低 1. 最低限度，最少量；2. 最恶劣，最糟糕；3. 极其，非常（表示厌恶、轻蔑等情绪）
さいしょ 最初 最初，最开始；起初，当初
さいこ 最古 最早，最古老
さいぜん 最善 最好，最佳；全力。表示在某种情况下所能达到的最优状态或尽最大的努力。
さいだい0 最大 最大、最高限度
さいだいげん 最大限 最大限度，极限
もより 最寄り 附近，最近处；离……最近的地方
さいしょう 0 最小 名词，最小、最少
さいご 最後 最后，最终；末尾；结局
さいあく 最悪 最坏，最糟，最差；表示程度达到极限，情况非常糟糕
さいあい 最愛 名词，指最心爱的人或事物；最爱。
さいしん 最新 最新；最近；最新型
さいご 最期 临终，临死；最后的时刻；死，丧命
さいしゅう 最終 最终，最后；指某个过程、阶段等的末尾时刻或状态
さいしゅうびん 最終便 最后一班（车、船、飞机等交通工具）
さいしゅうかい 最終回 最后一集；最后一回；最后一轮；最后一场等，常用于表示系列事物的最后一个阶段或场次
さいしゅうにち 最終日 名词，最后一天
さいしゅうてんけん 最終点検 最终检查；最后检验
さいきん 最近 近来、最近；不久前
さいてき 最適 最合适，最适合
さいこう 最高 最高；最好；绝佳；棒极了
さいこうしょう 最高賞 最高奖；头等奖
つき 月 月亮；月份
つきづき 月々 名词，意为月月、每月；表示每个月持续进行某动作或存在某种状态。
つきびんみ 月並み 平凡，普通，平庸；常见的，一般的
つきひ 月日 月亮和太阳；时光，岁月
げつようび 月曜日 星期一，每周的第一天
げつまつ 月末 月末，月底
げっきゅう 月給 月薪，月工资
げっぷ 月賦 按月分期付款，月供
げっぺい 月餅 名词，指中国传统节日中秋节时食用的糕点，通常有各种馅料，如豆沙、莲蓉等。
ゆうする 有する 有，拥有；具备，具有；发生，出现
ゆうじんうちゅうひこう 有人宇宙飛行 载人宇宙飞行
ゆうり 有利 有利；有好处。
ゆうりょく 有力 有力量；有势力；有影响力；有说服力
ゆうこう 有効 有效；有效果；起作用
ゆうめい 有名 有名，著名；闻名
ゆうめい［な］0 有名［な］ 有名〔的〕；著名〔的〕；知名〔的〕
ゆういぎ 有意義 有意义，有价值
ゆうすう 有数 有数，屈指可数；非常有名，名列前茅
ゆうりょう 有料 收费；付费。
ゆうぼう 有望 （前途）有希望；有前途；有指望
ありさま 有様 样子，光景，状态；情况；模样
ゆうむ 有無 有无，有或没有；是否存在
ゆうえき 有益 有意义，有好处；具有益处
ゆうきゅう 有給 带薪；有报酬。通常用于表示带薪休假等情况。
ゆうざい 有罪 名词，指犯罪事实成立、被判定有罪行。
ゆうのう 有能 有能力，能干，有才干
ありがとうい 有難い 难得的；可贵的；值得感激的；谢谢，多谢
ゆうちょうてん 有頂天 得意扬扬，高兴得忘乎所以；欢闹，喧闹
ふく 服 衣服；服装
ふくする 服する 服从；听从；从事（某种职业等）；服用（药等）；使服从
ふくそう 服装 衣服；衣着；装束
ほがらか 朗らか 开朗的，爽快的；晴朗的，明亮的
ろうほう 朗報 好消息，喜讯
ろうどく 朗読 朗读，朗诵
のぞましい 望ましい 理想的，最好的；合乎愿望的，值得期望的
のぞむ 望む 1. 想，希望；2. 眺望，遥望；3. 期望，期待
ぼうえんきょう 望遠鏡 望远镜
あさ 朝 早晨；早上；上午
あさごはん 朝ごはん 早餐；早饭
あさごはん 朝ご飯 早饭；早餐
あさいち 朝一 一大早，早上头一件事；第一天早上，刚一开始
ちょうせき 朝夕 早晨和晚上；从早到晚；经常，总是
あさねぼう 朝寝坊 睡懒觉，起床晚
あさいち 朝市 早市，早晨开放的集市
あさがた 朝方 早晨，清晨；也可泛指日出前后的一段时间
あさひ 朝日 早晨初升的太阳；朝阳
あさがお 朝顔 牵牛花，喇叭花；比喻容易消逝的事物
ちょうしょく 朝食 名词，指早餐、早饭
あさごはんまえ 朝飯前 表示事情非常容易做到，轻而易举，极其容易。
きたい 期待 期待，期望，盼望；预期，预料
きたいします 期待します 希望，期待；盼望，预期
きじつ 期日 日期，期限；特指规定的日期、截止日期等
きかん 期間 期间，时间段；期限
きげん 期限 期限；规定的时间
き 木 树；木头；木材；木（五行之一）
きのみ 木の実 树上的果实；坚果
このは 木の葉 名词，树叶
もくこう 木工 木工；木匠；木工艺
もくようび 木曜日 星期四
もくざい 木材 木材；木料
こがらし 木枯らし 寒风；秋风；冬天的暴风
もめん 木綿 棉花；棉织品；棉布
きくらげ 木耳 木耳，一种可食用的菌类，通常生长在树木上，形状类似耳朵，颜色多为黑色或褐色。
まだ 未だ （后多接否定）未曾，尚未；仍然，还；（前接肯定）刚刚，才
まだしも 未だしも 还算可以，还好；退一步说；即便如此
まだに 未だに （后接否定）仍然，尚未；也可用于肯定句，表示“依旧、还是”。
みこん 未婚 尚未结婚，单身状态
みてい 未定 尚未决定；未确定
みらい 未来 未来，将来
みまん 未満 未满，不满，不足。用于表示某个数量、程度等未达到特定标准。
みじゅく 未熟 未成熟；不熟练；幼稚。多用于形容人在经验、技能、思想等方面还不够成熟或老练。
みち 未知 不知道，尚未知晓；未知的事物
みれん 未練 依恋，恋恋不舍；留恋，放不下；惋惜，遗憾
みかい 未開 未开化；未开垦；未经开发。
すえ 末 1. 末尾，末了，结尾；2. 结果；3. 最后阶段；4. 末期；5. 末端，末梢
すえっこ 末っ子 最小的孩子；老幺
まっき 末期 晚期；末期；最后阶段
ほん 本 书；书籍；本子；册子；细长物品的量词（如：一支笔、一根香烟等）
ほんの 本の 仅仅，少许，一点点
ほんにん 本人 名词，指说话人所提到的那个人自身，即当事人。
ほんたい 本体 1. 机身；2. 事物的本身、主体；3. 人的身体；4. 真相、实质等
ほんみょう 本名 本名，真名
ほんこく 本国 本国，祖国；故乡
ほんば 本場 原产地；正宗，地道；事物的发源地、中心地
ほんけ 本家 1. 发祥地，正宗，嫡派；2. 本家，正支；3. 指某个家族或企业的总部、总店
ほんや 本屋 书店
ほんてん 本店 总店；本店；老号；老铺
ほんとう 本当 真；真实；实在；的确；真的。用于表示事情的真实性、肯定的程度或强调某种情感、情况等。
ほんとうに 本当に 真的；实在，的确
ほんしん 本心 真心，本心；本性
ほんじつ 本日 名词，今日，今天
ほんらい 本来 原本，本来；按理说
ほんかく 本格 名词，意为正式、正规、正统；也可表示真格的、纯粹的。
ほんかくてき 本格的 真正的；正式的；地道的
ほんだな 本棚 书架；书橱
ほんき 本気 认真，当真；真心，诚意
ほんもの 本物 真东西，真货；真实的事物；纯正的物品
ほんしゃ 本社 名词，指公司、组织等的总部、总公司、本部
ほんすじ 本筋 主要情节；正题，本题；事物的核心、关键部分
ほんのう 本能 本能，与生俱来的能力或倾向
ほんちょうし 本調子 正常状态，常态；最佳状态
ほんしつ 本質 本质，实质；事物最根本的性质
ほんぶ 本部 名词，指某个组织、团体、企业等的主要办事机构，即总部、本部
ほんね 本音 真心话；内心的想法
ほんかん 本館 主楼，正楼；主要的馆舍，如图书馆的主馆等
さつ 札 纸币；票据；牌子；标签等
とうよう 東洋 名词，指亚洲，尤其是亚洲东部和东南部地区；也可泛指东方，与“西洋”相对。
とうようじん 東洋人 名词，指东方人，通常指亚洲人
