# ========================================================
# 50音伪装计算器 - 高考正版初级 + 新标日中级 黄金合体词库
# 优化：雷达追踪对齐，解除翻译限制，全量保留中级词汇
# ========================================================

あいず 合図 [信号]
しゅうにゅう 収入 [收入]
じゅうぶん 十分 [十分，充分；足够]
じゅうよう 重要 [重要]
しゅうり 修理 [修理]
じゅくご 熟語 [惯用语，复合词]
しゅくじつ 祝日 [节日，法定假日]
じゅけん 受験 [投考，报考，应试]
しゅじゅつ 手術 [手术]
じゅしょう 受賞 [获奖，得奖]
しゅじん 主人 [丈夫，老板]
しゅちょう 主張 [主张，论点]
しゅっしん 出身 [出生在，籍贯；毕业于]
しゅと 首都 [首都]
じゅよう 需要 [需求，需要]
しゅるい 種類 [种类]
じゅんきょうじゅ 准教授 [副教授]
じゅんじょ 順序 [顺序]
じゅんすい 純粋 [纯真；纯粹]
しゅんせつ 春節 [春节]
じゅんび 準備 [准备]
しよう 使用 [使用]
じょうえい 上映 [放映，上映]
じょうか 浄化 [净化，纯洁化]
しょうがい 生涯 [终生，毕生，一辈子]
しょうがいしゃ 障害者 [身心障碍者]
しょうがつ 正月 [正月，新年]
しょうきゃく 焼却 [焚烧，烧掉]
しょうぎょう 商業 [商业]
じょうけん 条件 [条件]
しょうこ 証拠 [证据]
しょうさん 賞賛 [称赞，赞扬，赞赏]
しょうしか 少子化 [少子化]
しょうじき 正直 [老实，诚实，直率]
じょうしき 常識 [常识]
しょうじょう 症状 [症状，病情]
しょうじる 生じる [产生，发生，生长]
しょうせつ 小説 [小说]
しょうたい 招待 [邀请，招待]
じょうだん 冗談 [玩笑，笑话]
しょうち 承知 [同意，知道，领命]
しょうちょう 象徴 [象征]
しょうどうがい 衝動買い [冲动购物]
しょうとつ 衝突 [碰撞，冲突]
しょうばい 商売 [生意，买卖]
じょうはつ 蒸発 [蒸发]
しょうひ 消費 [消费，耗费，花费]
しょうひん 商品 [商品]
じょうほう 情報 [信息，情报]
しょうめい 証明 [证明]
しょうゆ 醤油 [酱油]
ジョーク joke [诙谐，笑话，玩笑]
ジョギング jogging [跑步，放松慢跑]
しょくぎょう 職業 [职业]
しょくざい 食材 [食材]
しょくば 職場 [工作单位，工作岗位]
しょくひん 食品 [食品]
しょくぶつ 植物 [植物]
じょげん 助言 [建议；忠告]
じょじょに 徐々に [慢慢地，徐徐地]
じょせい 女性 [女性]
しょたいめん 初対面 [初次见面]
しょどう 書道 [书法，书道]
しょり 処理 [处理，办理，收拾]
しらべる 調べる [调查，查阅，审问]
じりつ 自立 [自立]
シルク silk [丝，丝绸，生丝]
しるし 印 [标志，记号]
しろうと 素人 [外行，业余者，门外汉]
しんきんかん 親近感 [亲近感]
しんけい 神経 [神经]
しんけん 真剣 [认真，正经，严肃]
しんこう 信仰 [信仰]
しんごう 信号 [信号]
じんこう 人口 [人口]
じんじゃ 神社 [神社]
しんしゅつ 進出 [进入，向新的领域发展]
しんじょう 信条 [信条，信念]
しんじる 信じる [相信]
しんぞう 心臓 [心脏]
しんど 震度 [地震强度，震度]
しんぱい 心配 [操心事，担心事]
シンプル simple [单纯，简单；质朴]
シンボル symbol [象征]
しんゆう 親友 [至交，好友，挚友]
しんよう 信用 [信赖，相信]
しんりょう 診療 [诊疗，诊治]
すいそく 推測 [推测，猜测，估计]
スイッチ switch [开关]
すいどう 水道 [自来水（管）]
ずいぶん 随分 [相当，很]
スーツ suit [西服套装]
スープ soup [(西餐的)汤]
すうがく 数学 [数学]
すがた 姿 [姿势，举止，身影]
すぎさる 過ぎ去る [过去，（成为）过去]
すきま 隙間 [缝，缝隙]
スキル skill [技术，技巧，本领]
すくう 救う [救助，帮助，拯救]
すくなからず 少なからず [相当程度上，不少]
すくなくとも 少なくとも [至少，最起码]
スケジュール schedule [日程（表）]
すごい 凄い [惊人，厉害，了不起]
すこやか 健やか [健康的]
すすむ 進む [前进；进展；发展]
すすめる 進める [推进，进行]
すすめる 勧める [建议，提议]
スタッフ staff [工作人员]
ずつ ずつ [(表示均衡)每，各]
すっきり すっきり [心情轻松、舒畅；整洁]
すっぱい 酸っぱい [酸]
ステージ stage [舞台，讲台]
ステレオタイプ stereotype [陈规，俗套]
ストレス stress [精神压力，精神紧张状态]
すな 砂 [沙，沙子]
すなわち すなわち [即，也就是说]
スニーカー sneaker [轻便运动鞋]
すばやい 素早い [快速；敏捷；麻利,利落]
スピーチ speech [讲话，演说，致词]
スプーン spoon [汤匙，调羹]
すべて すべて [一切，所有；总共，统统]
すべる 滑る [滑，溜]
スマートフォン smartphone [智能手机]
すます 澄ます [澄清，集中]
すみ 隅 [角落]
すむ 済む [完了，过得去，解决]
すもう 相撲 [相扑]
ずるい 狡い [狡猾]
するどい 鋭い [尖锐，尖]
せ 背 [脊背，后背]
せいかく 性格 [性格]
せいかく 正確 [正确，准确]
せいきゅう 請求 [索取，要求]
ぜいきん 税金 [税款]
せいげん 制限 [限制；限度]
せいこう 成功 [成功]
せいじ 政治 [政治]
せいしつ 性質 [性质]
せいしん 精神 [精神]
せいじん 成人 [成人]
せいぜい せいぜい [顶多，充其量；尽量]
せいぞう 製造 [制造]
せいぞん 生存 [生存]
せいたい 生態 [生态]
せいだい 盛大 [隆重，盛大]
ぜいたく 贅沢 [奢侈，奢华，奢望]
せいちょう 成長 [成长，生长；增长]
せいど 制度 [制度]
せいねん 青年 [青年]
せいぶつ 生物 [生物]
せいめい 生命 [生命]
せいよう 西洋 [西洋，西方]
せいり 整理 [整理，整顿]
セーター sweater [毛衣，羊毛衫]
せき 咳 [咳嗽]
せきたん 石炭 [煤，煤炭]
せきにん 責任 [责任]
せきゆ 石油 [石油]
せだい 世代 [一代（人），世代]
せっかく せっかく [特意，好(不)容易]
せっきょく 積極 [积极]
せっきょくてき 積極的 [积极的]
せっく 節句 [节日]
せっけん 石鹸 [肥皂]
せっする 接する [接触，接待；连接上]
ぜったい 絶対 [绝对，一定，无论如何]
せつび 設備 [设备]
せなか 背中 [背，背脊]
ぜひ 是非 [一定，务必]
せみ 蝉 [蝉，知了]
ゼリー jelly [果冻]
ゼロ zero [零]
せんきょ 選挙 [选举]
せんざい 洗剤 [洗洁精，洗衣粉]
せんしゅ 選手 [选手，运动员]
センス sense [感觉，审美能力]
せんぞ 先祖 [先祖]
せんそう 戦争 [战争]
せんねん 先年 [往年，前些年]
せんもん 専門 [专业，专门]
せんれん 洗練 [精炼，高尚，讲究]
そういてん 相違点 [不同之处]
ぞうか 増加 [增加]
ぞうきん 雑巾 [抹布，搌布]
そうさく 創作 [创作，编造]
そうしん 送信 [发送，发射，传送信号]
そうぞう 想像 [想像]
そうとう 相当 [相当于，很，颇]
ぞうに 雑煮 [杂煮，年糕汤]
そえる 添える [添，附加，补充]
ソース sauce [沙士，沙司，调味汁]
ソーセージ sausage [香肠，腊肠，红肠]
そしき 組織 [组织]
そせん 祖先 [先祖，祖先]
そそぐ 注ぐ [流入，降下；注入，灌入]
そそっかしい そそっかしい [冒失，马大哈，丢三落四]
そだいごみ 粗大ごみ [电器、家具等大件垃圾]
そだつ 育つ [生长，成长]
そだてる 育てる [抚育，培养]
そで 袖 [袖子]
そなえる 備える [准备，防备；备置；具备]
そば 側･傍 [旁边；附近]
ソフト soft [柔软，柔和；软件]
そまつ 粗末 [粗糙；不重视，不爱惜]
そもそも そもそも [最初，原本，到底]
そろう 揃う [聚齐，配齐，到齐]
そろえる 揃える [凑齐，使…一致]
そろそろ そろそろ [慢慢地，差不多要，渐渐]
そん 損 [损失，亏损，吃亏]
そんけい 尊敬 [尊敬]
そんちょう 尊重 [尊重]
ダイエット diet [节食，减肥]
だいかんげい 大歓迎 [非常欢迎]
たいき 大気 [大气，空气]
たいくつ 退屈 [厌倦，乏味]
たいこう 対抗 [对抗，抗衡]
だいじ 大事 [重要，珍惜]
たいしゅうてき 大衆的 [大众性的，群众性的]
たいしょう 対象 [对象，目标，客体]
たいする 対する [对，对待，对抗]
たいそう 体操 [体操]
だいたい 大体 [大体]
たいてい 大抵 [大抵，大都]
だいとうりょう 大統領 [总统]
だいどころ 台所 [厨房]
タイトル title [标题，题目；官衔，头衔]
だいひょう 代表 [代表]
タイプ type [类型；打字]
だいぶ だいぶ [很，相当]
たいふう 台風 [台风]
タイミング timing [时机]
だいめい 題名 [标题，题名]
ダイヤル dial [刻度盘；拨号盘；拨号]
たいら 平ら [平的，平坦]
たいりく 大陸 [大陆]
たえる 耐える [忍耐，忍受；顶住]
たおす 倒す [弄倒，放倒]
たおれる 倒れる [倒下，病倒]
たがい 互い [互相，双方]
たかめる 高める [提高，抬高]
たがやす 耕す [耕，耕耘]
たく 焚く [烧火，焚烧]
たく 炊く [煮(饭)，烧(菜)]
たくみ 巧み [巧妙，灵巧；下功夫]
だげき 打撃 [打击，损害，损失]
たさい 多彩 [五颜六色，丰富多彩]
たしか 確か [确实，可靠，大概]
たすける 助ける [帮助，援助；救（助）]
たずねる 尋ねる [询问，探听，寻求]
ただ ただ [只，仅仅；不过]
たたかう 戦う [战斗，交战，比赛]
たたく 叩く [敲，打；敲打；拍手]
ただちに 直ちに [立即，直接]
たたみ 畳 [草席，榻榻米]
たたむ 畳む [折叠，合上]
たちよる 立ち寄る [靠近,走近；顺便到]
たっせいかん 達成感 [成就感]
たて 縦 [纵，竖，长]
たてまえ 建前 [场面话]
たてる 立てる [发出声响，挺立，竖起]
たとえ たとえ [即使，纵然]
たとえる 例える [比喻，比方]
たどる 辿る [探索；追寻]
たな 棚 [搁板，架子]
たなばた 七夕 [七夕节]
たにん 他人 [他人，别人]
たのしむ 楽しむ [享受，欣赏，期待]
たのむ 頼む [请求，恳求，委托]
たび 度 [次，回；次数]
たび 旅 [旅行，出门在外]
たびさき 旅先 [旅行途中，旅行地]
たま 玉 [球，珠；子弹]
たましい 魂 [灵魂]
たまに 偶に [有时，偶尔]
たまる 貯・溜まる [积攒，积存，积压]
ためす 試す [试，试验，尝试]
ためる 溜・貯める [积攒，储（钱，水）]
たもつ 保つ [保持，维持；保存]
たようか 多様化 [多样化，多样性]
だらしない だらしない [不检点；没出息，不争气]
だらだら だらだら [冗长，不简练]
たりる 足りる [足够，够用，值得]
たる 足る [充足，足够]
だるい だるい [疲软乏力，懒倦的]
たんごちょう 単語帳 [单词本]
たんしょ 短所 [短处，缺点]
たんす 箪笥 [衣柜，衣橱]
たんに 単に [仅，只，单]
だんらん 団欒 [团圆，团聚]
ち 血 [血，血缘]
チーム team [组，团队]
チームワーク teamwork [团队合作]
チェック check [核对，检验]
ちえ 知恵 [差别，差异；差错]
ちかづく 近づく [靠近，接近；近似]
ちかてつ 地下鉄 [地铁]
ちきゅう 地球 [地球]
チケット ticket [票，劵，入场券、餐券等]
ちこく 遅刻 [迟到]
ちてき 知的 [有知识的，聪明的]
チャイナタウン China Town [唐人街]
チャレンジ challenge [挑战]
チャンス chance [机会，时机]
ちゃんと ちゃんと [按期，准时]
ちゅうい 注意 [注意,留神； 提醒,警告]
ちゅうしゃ 注射 [打针，注射]
ちゅうしん 中心 [中心]
ちゅうたい 中退 [中途退学]
ちゅうもん 注文 [定做，订购，要求]
ちょうさ 調査 [调查]
ちょうし 調子 [状态，情况；调，腔调]
ちょうじゅ 長寿 [长寿]
ちょうせん 挑戦 [挑战]
ちょうり 調理 [整理，烹饪，布置]
ちょきん 貯金 [存钱，储蓄]
ちょくせつ 直接 [直接]
ちょくぜん 直前 [即将…之前，前夕]
ちょっとした ちょっとした [一点，相当]
ちらかる 散らかる [零乱，散乱]
ちらし 散らし [传单，广告单，宣传品]
ちりぢり 散り散り [散乱；离散]
ちる 散る [凋谢；分散]
ツアーガイド tour-guide [旅行社导游，团队导游]
つい つい [不知不觉，无意中]
ついでに ついでに [顺便,就便；顺手]
ついに ついに [终于]
ついやす 費やす [消耗，耗费；浪费]
つうがく 通学 [走读]
つかいこなす 使い熟す [运用自如，纯熟掌握]
つかいすて 使い捨て [一次性使用（物）]
つかまえる 捕まえる [抓住，捉住]
つかむ 掴む [抓，抓住]
つきあう 付き合う [交际，交往；陪伴，作陪]
つぎつぎ 次々 [依次，陆续，接连不断地]
つきもの 付き物 [附属物；避免不了的事情]
つく 付く [附着，粘附，沾上]
つぐ 次ぐ [其后；亚于]
つくりだす 作り出す [制造出，生产出，做出]
つげる 告げる [告诉；告知,通知]
つごう 都合 [情况，方便]
つたえる 伝える [传达，转告，转达，传授]
つたわる 伝わる [传，流传；传来，传去]
つち 土 [土，土地]
つつむ 包む [包，裹，笼罩]
つづる 綴る [连缀，编缀，缝上]
つとめる 努める [尽力，侍奉，努力]
つとめる 勤める [工作，供职]
つながる 繋がる [连接，接通，关联]
つなぐ 繋ぐ [系，接，接合；维系]
つなげる 繋げる [系；拴；接；维系]
つなみ 津波 [海啸]
つねに 常に [时常，经常，不断]
つぶ 粒 [颗粒；粒]
つぶやく 呟く [嘟哝;发牢骚;唠叨;唧咕]
つま 妻 [妻子]
つまり つまり [即，就是说]
つみ 罪 [罪，罪行]
つみあげる 積み上げる [堆（累）积起来；堆完]
つみかさなる 積み重なる [反复积累；堆积]
つみかさねる 積み重ねる [积累，反复，堆起来]
つむ 積む [堆积；装载；积累]
つめ 爪 [指甲，爪]
つめかえ 詰め替え [改装，替换装]
つめる 詰める [塞满，填满]
つもり つもり [打算]
つゆ 梅雨 [梅雨]
つらい 辛い [辛苦，痛苦，残酷]
つれる 連れる [带，领]
であい 出会い [相遇，相逢，邂逅]
てあし 手足 [手和脚]
ティータイム teatime [喝茶时间；休息时间]
ていきょう 提供 [提供]
ディクテーション dictation [听写]
ていしょう 提唱 [提倡，倡导]
ていしょく 定食 [套餐]
ていちゃく 定着 [固定，扎根]
ていねい 丁寧 [仔细，认真；客气]
ていねん 定年 [退休，退休年龄]
でいり 出入り [出入]
テーブル table [桌子]
テーマパーク theme park [主题公园]
てがかり 手掛かり [线索，抓手]
てきとう 適当 [适当，恰好]
テクニック technic [技巧，技术，技术]
デザート dessert [餐后点心，甜食]
デザイナー designer [设计师]
てさき 手先 [手指尖儿，手下，喽罗]
てだすけ 手助け [帮助，帮忙]
てつづき 手続き [手续]
てっていてき 徹底的 [彻底（的）]
テニス tennis [网球]
てぬぐい 手拭（い） [布手巾]
てぶくろ 手袋 [手套]
てぶり 手振り [手势]
でまえ 出前 [送上门的外卖]
デメリット demerit [短处，缺点]
てもと 手元 [身边,手头；身边]
てら 寺 [庙，寺院]
デリケート delicate [脆弱，敏感；纤细]
てんかん 転換 [转换]
てんきよほう 天気予報 [天气预报]
でんししょせき 電子書籍 [电子书]
てんじょう 天井 [顶棚，天花板]
てんしょく 転職 [转业，改行，换工作]
てんすう 点数 [分数，得分；件数]
テント tent [帐篷]
でんとう 伝統 [传统]
テンポ (意)tempo [拍子，速度，生活节奏]
と 戸 [门；大门；拉门；窗户]
とい 問い [问，咨询]
とう 問う [寻问，打听；追究]
どうぐ 道具 [道具，工具]
とうこう 投稿 [投稿]
どうこうかい 同好会 [同好会，兴趣小组]
とうさん 倒産 [倒闭，破产]
どうし 同士 [有共同关系的人]
とうぜん 当然 [当然，应当]
とうちゃく 到着 [到达，抵达]
とうとう 到頭 [终于，到底，终究，结局]
とうばん 当番 [值日，值班 (人)，值勤]
とうぶん 当分 [暂时，一时半会儿]
とおす 通す [通过]
とおり 通り [大街，马路；一样]
どおり どおり [原样]
とかす 溶かす [熔化，溶解]
ときおり 時折 [有时，偶尔]
どきどき どきどき [心跳不已]
とく 得 [利益，赚头；划算]
とく 解く [解，解开]
とくい 得意 [主顾，擅长，拿手]
どくしょ 読書 [读书，看书]
とくちょう 特徴 [特征]
とくに 特に [尤其，特别]
どくりつ 独立 [特别，格外]
とける 解ける [解开，解除]
とこのま 床の間 [壁龛]
ところが ところが [然而，可是]
ところで ところで [用于转换话题]
としだま 年玉 [压岁钱]
としより 年寄り [老人，上了年纪的人]
とじる 閉じる [闭，关闭]
とつぜん 突然 [突然]
トップ top [首位，顶上，首脑]
とどく 届く [送达，达到，够到]
とどけ 届け [报告(书)，申请(书)]
ととのう 整う [整齐；完善]
ととのえる 整える [整理，备齐，达成]
どなた どなた [哪位]
とにかく とにかく [总之，姑且不论]
とびこむ 飛び込む [跳入,跳进；突然闯进]
とびだす 飛び出す [跑出去，跳出；突然出现]
とびたつ 飛び立つ [飞上天；高兴得跳起来]
とめる 止める [停住，堵住]
ともに 共に [一同，一起，随着，全都]
ともかく ともかく [暂且不论，总之]
とら 虎 [虎，老虎]
トラブル trouble [纠纷，故障]
トラベル travel [旅行，旅游]
ドラマ drama [电视剧，戏剧]
とりあう 取り合う [理睬；争夺；牵手]
とりあえず とりあえず [姑且，暂且]
とりあげる 取り上げる [采纳;拿起;没收;提出]
とりいれる 取り入れる [引进，吸收，收进]
とりくむ 取り組む [对付，较量，全力处理]
とりこわす 取り壊す [拆毁，拆掉，拆除]
とりのぞく 取り除く [除掉，去掉，拿掉]
とりもどす 取り戻す [恢复原样，取回]
どりょく 努力 [努力]
とりよせる 取り寄せる [拉过来，让人送来]
とる 摂る [摄取]
どれほど どれほど [多么，如何]
どろぼう 泥棒 [小偷，盗贼]
とんでもない とんでもない [意外；毫无道理；过奖]
どんどん どんどん [连续不断,一个劲儿]
ナイフ knife [小刀，水果刀，餐刀]
なお 尚 [还，仍然，另外]
なおす 直す [改正，修改，修理]
なおす 治す [医治]
なおる 直る [改好，修好]
なおる 治る [治愈，痊愈]
ながいき 長生き [长寿，活得久]
ながす 流す [流，冲；放（录音）]
なかなか なかなか [很，相当，非常]
なかま 仲間 [伙伴，朋友，同伙]
ながめる 眺める [远眺；注视；旁观]
なくす 無くす [丢，丢失]
なくなる 無・亡くなる [消失；亡故，去世]
なげく 嘆く･歎く [叹息；悲叹，哀叹]
なげる 投げる [投，抛]
なごやか 和やか [和谐，和睦，安详]
なさけない 情けない [可悲可叹，令人遗憾]
なじむ 馴染む [熟识，适应，融合]
なす 成す･為す [形成,构成；完成；做,为]
なだかい 名高い [有名的，著名的]
なつかしい 懐かしい [怀念，留恋]
なっとく 納得 [理解，领会；同意，信服]
ななめ 斜め [斜，倾斜]
なにしろ 何しろ [怎么说也；因为，由于]
なま 生 [生，直接]
なまける 怠ける [懒惰，懈怠]
なまごみ 生ゴミ [厨房垃圾，生活垃圾]
なみ 波 [波，波浪]
なめらか 滑らか [光滑，流畅]
なやます 悩ます [伤脑筋；(使)烦恼]
なやむ 悩む [烦恼；苦恼]
ならす 鳴らす [鸣，啼，发出响声]
ならべる 並べる [排列；摆,陈列；列举]
なりたつ 成り立つ [成立，能维持（生活等）]
なるべく なるべく [尽可能，尽量]
なるほど なるほど [的确，果然]
なれる 慣れる [习惯]
なんとか 何とか [想方设法]
なんとなく なんとなく [（不知为什么）总觉得]
にあう 似合う [(服饰）相配,适称,合适]
ニーズ needs [需求，要求]
にがい 苦い [味苦，痛苦]
にがて 苦手 [不擅长，难对付]
にぎる 握る [握，掌握]
にげる 逃げる [逃跑，逃避]
にこむ 煮込む [炖，熬，长时间煮]
にゅうじょう 入場 [入场（会场、比赛场等）]
にゅうよく 入浴 [洗澡，沐浴]
にゅうりょく 入力 [输入（信号、数据等）]
にる 似る [相似，类似，像]
にる 煮る [煮，炖，熬]
にんき 人気 [人缘，受欢迎]
ぬう 縫う [缝，穿过]
ぬかす 抜かす [跳过，越过，漏掉]
ぬく 抜く [拔，抽]
ぬぐう 拭う [擦掉，拭去，揩掉]
ぬけだす 抜け出す [脱身，溜走；超前，超出]
ぬすむ 盗む [偷盗，盗窃；背着]
ぬる 塗る [涂(颜料)，擦，抹]
ぬれる 濡れる [沾湿，湿透]
ネーミング naming [命名，取名，提名]
ネクタイ necktie [领带]
ねずみ 鼠 [老鼠]
ねた ねた [素材，原料]
ねっしん 熱心 [热情，热心]
ねむる 眠る [睡觉]
ねんし 年始 [年头]
ねんぱい 年配 [中年]
ねんまつ 年末 [年尾]
ねんりょう 燃料 [燃料]
のうりつ 能率 [效率，生产率]
のこす 残す [留下，保留，剩下]
のこる 残る [留下，残存，剩下]
のせる 乗･載せる [装载；刊登；放…上]
のぞく 覗く [窥视,探视；看一看,瞧瞧]
のぞむ 望む [眺望；希望，期望，指望]
のち 後 [之后，今后]
のばす 伸ばす [延长，发挥，拓展]
のびやか 伸びやか [轻松舒畅，悠然自得]
のびる 伸びる [伸长，到达，扩大]
のりあわせる 乗り合わせる [(和别人)偶然同乘]
のりかえる 乗り換える [换乘]
のりこえる 乗り越える [越过，跨过；渡过]
のんびり のんびり [悠闲自在，舒舒服服]
はあく 把握 [把握，掌握]
パーティー party [晚会，聚会]
ハイキング hiking [郊游，徒步旅行，远足]
はいそう 配送 [发送；分发，分送]
はいたつ 配達 [递送(邮件，货物)]
ばいてん 売店 [小卖部，小卖店，售货亭]
はいゆう 俳優 [演员]
はいりこむ 入り込む [进入；钻入，爬入]
はえる 生える [长出，丛生]
ばか 馬鹿 [笨蛋，混蛋，傻瓜]
はかい 破壊 [破坏，毁坏]
はかる 計る [计量；推测，揣测，揣摩]
はきけ 吐き気 [恶心，反胃]
はく 吐く [吐，呕；排；说出]
はく 掃く [扫，打扫]
はくねつ 白熱 [炽热；白热化]
はげしい 激しい [激烈，厉害]
はげます 励ます [鼓励，激励，勉励]
はげむ 励む [努力，刻苦，勤勉]
はこ 箱 [箱子，盒子]
はし 端 [一端，一边]
はし 橋 [桥]
はし 箸 [筷子]
はじめて 初めて [初次；首次]
はしら 柱 [柱子，支柱]
はじる 恥じる [羞耻，羞愧，逊色]
はずす 外す [取下，排除]
はずれる 外れる [偏离，落空；脱落]
パソコン personal computer [电脑，计算机]
はだか 裸 [赤裸，裸体]
はたけ 畑 [旱田，田地]
はたす 果たす [完成，实现，实行]
はたらきかける 働きかける [推动，发动]
バッグ bag [包，袋]
はっけん 発見 [发现]
はっそう 発送 [发送，寄出，发出]
はったつ 発達 [发达]
ぱっと ぱっと [突然；一下子；引人注目]
はっぴょう 発表 [发表，公布]
はつもうで 初詣 [新年的首次参拜]
はで 派手 [艳丽，花哨，阔绰]
はなしあう 話し合う [交谈，商议]
はなす 放す [放开，放掉]
はなす 離す [（使）离开，隔开]
はなれる 離れる [分离，离开，相隔]
はね 羽 [羽毛，翅膀]
はねつける はねつける [弹回，撞翻，拒绝]
はば 幅 [宽度，幅度]
はばひろい 幅広い [广泛的]
はめ 羽目 [困境，境地；木墙板]
はめる 嵌める [嵌，戴上(戒指)]
はやる 流行る [流行]
はら 腹 [肚子，腹]
ばらうり ばら売り [零售，散卖]
はらはら はらはら [担心，忧虑]
ばらばら ばらばら [零乱，零散]
バランス balance [平衡，均衡]
はる 張る [伸展；复盖；牵拉]
はんい 範囲 [范围]
ハンカチ handkerchief [手帕]
はんげき 反撃 [反击，反攻]
はんせい 反省 [反省，检查自己]
はんだん 判断 [判断]
ビール 荷 bier [啤酒]
ひえる 冷える [变冷，放凉，觉得冷]
ひがえり 日帰り [当天去当天回]
ひかえる 控える [等候,待命；控制,节制]
ひかく 比較 [比较]
ひかる 光る [发光；出众；监视,盯视]
ひきだし 引き出し [抽屉]
ひきにく 挽肉 [肉馅儿，肉末]
ひきよせる 引き寄せる [拉到近旁；引到近处]
ひげ 髭 [胡须，胡子]
ひざ 膝 [膝，膝盖]
ひさいち 被災地 [灾区，受灾地]
びじゅつ 美術 [美术]
ひじょうに 非常に [非常，很]
びっくり びっくり [吃惊，吓一跳]
ひづけ 日付 [日期]
ひっこす 引っ越す [搬家，迁居，搬迁]
ひっし 必死 [死命，拼命]
ひつよう 必要 [必要，必须]
ひていてき 否定的 [否定（性）的]
ひどい 酷い [过分的，苛刻的]
ひとがら 人柄 [人品，人格]
ひとくち 一口 [一口，一概而论]
ひとこと 一言 [三言两语]
ひとしい 等しい [相等，相同]
ひとよし 人好し [善良，好心肠（的人）]
ひとりぐらし 一人暮らし [一个人生活，单身生活]
ひとりぼっち 一人ぼっち [孤独一人，孤单]
ひなたぼっこ 日向ぼっこ [晒太阳]
ひなまつり 雛祭り [女儿节]
ひにく 皮肉 [挖苦,讽刺,嘲讽]
ひまん 肥満 [肥胖；肥胖症]
ひも 紐 [细绳子，带子]
ひやす 冷やす [冰镇，冷却]
ひよう 費用 [费用]
ひょうばん 評判 [名声，获得好评]
ひょうめん 表面 [表面]
ひるね 昼寝 [午睡，午觉]
ひろう 披露 [展示，发表；公开宣布]
ひろがる 広がる [扩大，延伸]
ひろげる 広げる [展开，扩大]
ひろめる 広める [扩大；推广；传播]
ヒント hint [暗示，启发，启示]
びんぼう 貧乏 [贫穷，贫困]
ファッション fashion [流行，时兴，时尚]
ふあん 不安 [不安，担心，焦虑]
フィクション fiction [小说；虚构的故事]
ふうふ 夫婦 [夫妇]
ブーム boom [热潮，高潮]
プール pool [游泳池]
ふえ 笛 [笛子]
ふえる 増える [增加，增多]
ふかけつ 不可欠 [不可或缺]
ぶかつ 部活 [倶楽部活動]
ふかまる 深まる [变深，变浓]
ふかめる 深める [加强，加深]
ふきゅう 普及 [普及，推广]
ふきょう 不況 [不景气，萧条]
ふく 吹く [吹，喷，冒出]
ふくし 福祉 [福利，福祉]
ふくむ 含む [含，含有，包含]
ふくらむ 膨らむ [鼓起，膨胀，扩大]
ふくろ 袋 [袋，口袋；纸袋，布袋]
ぶさた 無沙汰 [久未通信，久疏问候]
ふさわしい ふさわしい [合适，相称，般配]
ぶじ 無事 [平安无事]
ふしぎ 不思議 [不可思议，奇怪的]
ふじゆう 不自由 [不自由，不如意，不便]
ふせぐ 防ぐ [防守，防止；预防，防备]
ふた 蓋 [盖子]
ふたたび 再び [再,又,重新]
ふたん 負担 [负担，承担；重任]
ふだん 普段 [平常，日常]
ぶっか 物価 [物价]
ぶつかる ぶつかる [碰，撞，遇上，冲突]
ぶっきょう 仏教 [佛教]
ぶつける ぶつける [碰上，抛出，扔]
ふつごう 不都合 [不便，不妥]
ぶどう 葡萄 [葡萄]
ふとる 太る [胖，发福，变胖]
ふとん 布団 [被褥,铺盖]
ふみだす 踏み出す [迈出，迈步，踏出]
ふむ 踏む [踩，踏]
ふやす 増やす [增加，增多]
プラスチック plastics [塑料]
ぶらんこ ぶらんこ [秋千]
ふりまわす 振り回す [挥，摇，摆；折腾，卖弄]
フリーマーケット flea market [跳蚤市场，旧货市场]
ふれあう 触れ合う [互相接触，互相挨着]
ふれる 触れる [触，碰，接触；触及]
プロジェクト project [规划，计划，项目]
ぶんがく 文学 [文学]
ぶんかさい 文化祭 [文化节]
ぶんせき 分析 [分析]
ぶんるい 分類 [分类，分门别类]
ぶんつう 文通 [通信，书信往来]
へいき 平気 [镇静，不在乎]
へいきん 平均 [平均，均衡；平均值]
へいじつ 平日 [周休、节假以外的日子]
へいぜん 平然 [沉着，冷静]
ペース pace [步调，步伐，速度]
ベストセラー best-seller [畅销书]
へそ へそ [肚脐]
ペット pet [宠物]
へび 蛇 [蛇]
へらす 減らす [减少，削减]
へる 減る [减少]
へん 変 [怪,奇怪;古怪,反常]
ポイント point [百分点，分数，要点]
ぼうえき 貿易 [(进出口)贸易]
ほうかい 崩壊 [崩溃，垮塌]
ぼうぎょ 防御 [防御]
ほうこう 方向 [方向]
ほうさく 豊作 [丰收]
ほうじる 報じる [报答；通知]
ぼうそう 暴走 [飙车，失控，鲁莽从事]
ほうだい 放題 [自由，随便，无限制]
ほうどう 報道 [报道]
ほうび 褒美 [奖品，奖赏，褒扬]
ほうふ 抱負 [抱负]
ほうもん 訪問 [访问，造访；(表敬)拜访]
ほうりつ 法律 [法律]
ホームステイ homestay [寄宿家访]
ほえる 吠える [犬吠，吼；大声叫]
ボーナス bonus [奖金；额外津贴]
ホームレス homeless [无家可归者，流浪者]
ボールペン ball pen [圆珠笔]
ほぐす 解す [放松，缓解，松解]
ポケット pocket [口袋,衣袋；袖珍,小型]
ほご 保護 [保护]
