はこ 箱 箱子；盒子；容器等
なす 茄子 茄子；紫茄子色，深紫色
ちゃさじ 茶さじ 茶匙；小汤匙
ちゃのま 茶の間 和室中兼作起居、用餐等用途的房间；茶室
ちゃわん0 茶わん 茶碗；茶盏；（盛茶、汤、饭等的）碗
ちゃわん 茶碗 茶碗；饭碗；（盛饭、盛汤等的）碗
ちゃづつ 茶筒 装茶叶等的圆筒形容器
ちゃいろい 茶色い 形容词，茶色的，褐色的
さどう 茶道 日本传统的品茶、茶艺文化，包括茶室布置、茶具使用、泡茶和奉茶等一整套礼仪规范。
ちゃはんごと 茶飯事 日常琐事；平常的事，常有的事
ゆでる 茹でる (用开水)煮；烫；焯；把（食物等）放在热水里煮到一定程度
くさ 草 草；杂草；牧草；稻草；麦秸；（书写用的）草稿，底稿；（文章）草稿，底稿
あらい 荒い 激烈的；粗暴的；乱来的；粗糙的；不平静的（如海面等）
あらっぽい 荒っぽい 粗野的，粗暴的；不细腻的，粗糙的；（天气、海面等）狂暴的，汹涌的
あらす 荒らす 1. 使荒芜，糟蹋；破坏，毁坏（建物・道などを壊したり、物を無駄遣いしたりする）。2. 扰乱，搅乱（秩序や静けさを乱す）。3. 翻弄，折腾（人物をいじめる）。4. 偷窃（泥棒が家などを荒らす）
あれる 荒れる 波涛汹涌；荒芜，荒废；胡闹，荒唐；变粗糙；（皮肤等）变粗糙，变粗糙；（声音等）变粗，变沙哑；（天气等）变坏，恶化
こうはい 荒廃 荒废，荒芜；（精神、道德等方面）颓废，堕落
にもつ 荷物 行李；包裹；货物
にづくり 荷造り 打包，包装；包装工作；包装的方法、样式
ばくだい 莫大 非常大，巨大；数量极多
きく 菊 菊花；菊科植物；（日本皇室的家徽）菊纹
はなばなしい 華々しい 华丽的，豪华的；壮丽的，轰轰烈烈的
はなやか 華やか 华丽的；绚烂的；辉煌的；盛大的
かしゃ 華奢 苗条的，纤细的；纤弱的，不结实的；做工轻巧、精致
しおれる 萎む （植物等）枯萎，凋谢；（精神、热情等）萎靡，消沉；（力量、气势等）减弱
しおれる 萎れる 1. 枯萎，凋谢；2. （精神、意志等）萎靡，消沉，沮丧；3. （物体）失去弹性、松软
いしゅく 萎縮 萎缩；退缩，畏缩
おちかかる 落ちかかる 眼看要落下，就要掉下来；（事情等）即将发生、即将开始
おちます 落ちます 落下，掉落；（价格等）下降；落选；（从交通工具等）下来；陷入（某种状态）
おちる 落ちる 落下；掉下；降落；（地位、成绩等）下降；陷入（某种状态）；脱落；落选
おちど 落ち度 过失，过错，疏忽，失误
おちつき 落ち着き 沉着，镇静；稳定；安稳，平静；安静，寂静；习惯，适应
おちつく 落ち着く 1. 稳定，安定；2. 平静下来，镇静；3. 安静，寂静；4. 定居，安身；5. 决定，确定
おちば 落ち葉 落叶
おちこむ 落ち込む 1. 掉进，掉入；2. 陷入（消极状态等），情绪低落，消沉；3. 凹进去；4. （价格等）下降，下跌
おとします 落とします 使落下；掉落，掉下；弄掉；放下，丢下；取下；减少，降低；让（乘客等）下车、下船等；打败，击败
おとしもの 落とし物 遗失的物品，失物
おとす 落とす 使落下；弄掉；掉落；丢失；遗漏；去掉；扣除；降低；让（乘客等）下车、下船等
らっか 落下 （物体等）从高处向低处下降、掉落；（成绩、数值等）下降
らくがき 落書き 涂鸦，乱写乱画；胡乱写的字或画的画
らくだい 落第 （考试等）不及格；落榜；落选
らくご 落語 一种日本传统曲艺形式，以单口讲笑话、讲故事为主要表演方式
らくせんする 落選する 落选；考试落榜
は 葉 叶，叶子；书页；花瓣
いちじるしい 著しい 显著的，明显的；非常的，厉害的
しょす 著す 写，书写；著书，写作；显著，明显；（在衣物等上）穿戴
ちょめい 著名 有名，闻名；卓著
ちょしょ 著書 著书，著作，撰写的书籍
ちょしゃ 著者 著者，作者
かっとう 葛藤 纠葛，纠纷；心里矛盾，内心冲突
ぶどう 葡萄 葡萄；葡萄果实；葡萄藤
ほうむる 葬る 1. 埋葬，安葬；2. 掩盖，掩饰，隐瞒；3. 使（希望、计划等）破灭，断送
ねぎ 葱 葱，大葱；葱属植物
まく 蒔く 1. 播，种；2. 散布，撒；3. 涂抹（粉末等）
むしあつい 蒸し暑い 闷热，湿热
むす 蒸す 1. 蒸，蒸煮；2. 闷热，发闷
じょうき 蒸気 蒸汽，水蒸气
じょうりゅう 蒸留 将液体加热使其变成蒸汽，再使蒸汽冷却凝结成液体，以分离或提纯物质的操作，即蒸馏。
じょうはつ 蒸発 1. 蒸发；2. （人或钱等）失踪，消失
ためる 蓄える 储存，储备；积攒（金钱、物品等）；留，蓄（头发等）；怀有（感情等）
ちくせき 蓄積 积蓄，积累，积攒；（生物学等领域指物质等的）蓄积
かぶせる; ふた 蓋 1. 盖子，罩子，盖儿。（物の口を塞ぐもの。） 2. 覆盖，蒙上，罩上。（物の上にかぶせること。）
まんえんする 蔓延る （火势、疾病、情感等）蔓延，（气味、烟雾等）弥漫
ぜんましん 蕁麻疹 一种皮肤病，通常表现为皮肤上突然出现的瘙痒性风团，可自行消退但容易反复发作。
つぼみ 蕾 花蕾；（事物发展的）萌芽状态
うすい 薄い 薄的；淡的；浅的；稀薄的；微弱的；不浓的
うすっぺら 薄っぺら 很薄的，单薄的；浅薄的，肤浅的
うすめる 薄める 使变薄；稀释；淡化；减轻（味道、颜色、浓度等）
うすれる 薄れる 减弱，减退；变稀薄；变模糊；褪色
うすあじ 薄味 味道淡；清淡的味道
うすがた 薄型 薄的类型；薄的形状；薄型（指物品厚度较薄的样式或类型）
はくじゃく 薄弱 （意志、体力等）薄弱，不坚定；（基础、实力等）薄弱；（证据等）不充足
うすあかるい 薄明るい 微亮的，有点亮的；光线微弱，不太明亮
うすぐらい 薄暗い 微暗的，昏暗的；光线微弱、不太明亮的状态
まきこ 薪 木柴，柴火
くすり 薬 药，药物；（事物的）效力，功效；（对疾病等的）疗法
やくざい 薬剤 药剂，药品
やくひん 薬品 药品，药物
やっきょく 薬局 药房，药店
くすりや 薬屋 药店；药铺
くすりゆび 薬指 无名指
わら 藁 稻草，麦秆；干草；（比喻）毫无价值的东西
やぶ 藪 灌木丛，草丛；山林；（事物的）发源地、集中地
よみがえる 蘇る 苏醒，复活；复苏；恢复，复兴
とら 虎 老虎，虎；勇猛、强悍之人
ぎゃくたい 虐待 残酷な扱いをすること。人や動物に対して、肉体的または精神的に酷い扱いをすること。
うろ 虚ろ/空ろ 空洞；空虚；茫然，发呆
むしば 虫歯 蛀牙，虫牙，龋齿
にじ 虹 彩虹
へび 蛇 蛇
じゃぐち 蛇口 水龙头；河流的出口
だしょく 蛇足 蛇的脚；比喻多余的事物或不必要的举动
たんぱく質 蛋白質 蛋白质
はちみつ 蜂蜜 蜜蜂が採集した花粉や蜜を原料として作った甘い粘性のある液体。
みつ 蜜 蜂蜜；花蜜；甜美的汁液；（比喻）甜蜜的事物
ろうそく 蝋燭 蜡烛
くさる 蝕む 虫咬，虫蛀；侵蚀，腐蚀；（经济等）受损失，亏损
えび 蝦/海老 虾；龙虾；虾类水生动物
ゆうし 融資 ① 金融機関や企業などが、金銭を貸し出すこと。/（金融机构、企业等）提供资金，融资，贷款。② 融資されること。/获得融资，获得贷款。
ゆうずう 融通 ①资金的筹措、周转；②随机应变，灵活变通；③通融，给予方便
あり 蟻 蚂蚁
ち 血 血，血液；血缘；血亲；气质，性情
けつあつ 血圧 血压
けつりゅう 血流 血管内を流れる血液の流れ。また、血液の流れる様子。
けつえき 血液 人や動物の血管を流れる液体。酸素や栄養分を体内に運び、老廃物を排出する役割を果たす。
けつえきがた 血液型 血型
ちすじ 血筋 1. 血管；青筋。2. 血统，血缘。3. 出身，来历。
しゅうぎいん 衆議院 日本国会的下议院，由选民选举的议员组成，负责立法、审议预算等重要事务。
おこない 行い 行为，动作；品行，举止
おこないます 行います 进行；实行；举行；做
おこなう 行う 进行；实行；举行；做
いきます 行きます 去；前往；走；行驶；进行
いきさき 行き先 要去的地方；目的地
いきとどく 行き届く 周到，无微不至；普及到，达到
いきあたりばったり 行き当たりばったり 漫无目的；没有计划；听天由命；走到哪儿算哪儿
いきぎ 行き来 ① 往来，往返（场所之间的往返移动）；② 来往，交往（人与人之间的交际、交流等活动）
いきつまる 行き詰る 走到尽头；陷入僵局；行不通，走投无路
いきすぎる 行き過ぎる 走过头；做得过头；做得过度；走过（某地）而未停下；坐过（站）；错过（目的地）
いきちがい 行き違い 1. 错过，走岔（道）；2. 意见分歧，产生龃龉；3. 误会，弄错
いきちがう 行き違う 1. 走岔，错过；2. 意见等不一致，有分歧；3. 情况等不同，有差异
いく 行く 去，到；往；走；行驶；进行；做（某事）
ゆくて 行く手 前进的方向；去路；前方；前途
いける 行ける 能去；可以去；会去；能够前往；可以前往等
ぎょうじ 行事 仪式，活动；（学校、公司等的）例行活动、活动安排
こうし 行使 执行，行使（权力、权利等）；使用（某种手段等）
ぎょうぎ 行儀 举止，礼貌；规矩，礼节
ゆきさき 行先 目的地；去处；行踪
ぎょうれつ 行列 队伍；行列；（排队等候的）队列
こうどう 行動 行为，行动；活动
ぎょうせい 行政 国家、地方公共团体等的政治上的事务管理；行使国家、地方公共团体等的统治权的作用；与国家、地方公共团体等的事务管理相关的事务。
ゆくえ 行方 去向，下落；未来的情况、前途
こうらく 行楽 游玩，游乐；消遣，娱乐
こうらくち 行楽地 供人们游玩、娱乐的场所，景点，游览地
こうい 行為 行为；举动；行动
まち0 街 街道；城镇；市区
まちかど 街角 街道的拐角处；街头
えいせいほうそう 衛星放送 通过卫星进行的广播，包括卫星电视和卫星广播等
えいせい 衛生 为维护和增进健康，预防疾病所采取的措施；环境卫生；个人卫生。
えいせいじょうたい 衛生状態 卫生状态，环境卫生情况
しょうどう 衝動 冲动；（物理上的）冲力，冲击；精神上的刺激，震动
しょうげき 衝撃 冲击，打击；轰动，震惊
しょうとつ 衝突 （1）（車両などが）ぶつかること。／（车辆等）相撞。（2）意見や考えなどが対立すること。／意见、想法等发生冲突、矛盾。
いた 衣帯 1. （和服的）腰带；2. 衣服和腰带
ころもがえ 衣替え 换季时更换的衣物；换季换衣服的行为
いふく 衣服 衣裳，衣服；衣物。（着る物。服。）
いしょう 衣装 服装；戏服；（特定场合穿的）衣服
いるい 衣類 衣服，衣物
いしょくじゅう 衣食住 衣服、食物和住房；吃穿住等基本生活需求
うえ;おもて 表 1. 物体的表面、正面（物体の表面、正面）；2. 外表、外观（見た目、外見）；3. 表格（表・テーブル）
あらわす 表す 表示；表现；表达；体现；象征；露出（某种表情等）
あらわす 表する 表示，表达；表现，体现；露出，显露；代表
あらわれる 表れる 1. 出现，显露；2. 表现，显出
ひょうしょう 表彰 对在工作、学习、社会贡献等方面有突出成绩或表现的人或团体给予公开的表扬和奖励。
ひょうしょうする 表彰する 表彰，表扬，奖赏
ひょうじょう 表情 面部呈现出的情绪状态；面部的神态。
ひょうげん 表現 表现；表达；表达方式；表现形式
ひょうじ 表示 1. 表示；表达；表达的内容。2. 指示；显示。3. 表明；显示出。
ひょうし 表紙 封面，书皮，封皮；（杂志、报纸等的）头版
おもてどおり 表通り 主要街道，大马路；临街的马路
おとろえる 衰える 衰弱；衰退；减弱；衰老
すいたい 衰退 （体力、勢い、機能などが）だんだんと弱まったり、減ったりすること。衰退すること。
ふくろ 袋 袋子，口袋；（某些动物的）育儿袋
そで 袖 袖子；（相扑）拉对手袖子的技术
かぶせる 被せる 戴上；盖上，蒙上；使遭受（某种不好的事物等）；把……强加于
かぶる 被る 戴；蒙，盖；笼罩；遭受，蒙受；（雨、雪等）降下
ひどうけいしき 被动形式 日语动词的一种变形形式，用于表示被动的含义。具体变化规则为：一类动词（动1）基于ない形，将“ない”变为“れる”；二类动词（动2）基于ない形，将“ない”变为“られる”；三类动词（动3）中，“来る”变为“来られる”，“する”变为“される”。
ひこく 被告 法律上指在民事、刑事诉讼中被控告的人
ひがい 被害 由于灾害、事故、犯罪等所遭受的损失或损害；受灾，受害
ひさい 被災 受灾，遭灾；遭受灾害
ひさいち 被災地 受灾地区，灾区
さばく 裁く 1. 审判；裁判。2. 判断；评判。3. 从中调停；调解
さいばん 裁判 1. 审判，裁判；2. 法院，法庭
さいけつ 裁決 裁决，裁断；（体育比赛等的）裁判决定
さいほう 裁縫 缝纫；做针线活儿；裁缝，缝纫业
さく 裂く 撕开；劈开，分开；匀出，腾出；扯破，划破；使分裂，使不和
さける 裂ける 裂开；破裂；绽开
よそおう 装う 1. 穿戴，打扮；2. 伪装，假装；3. 装饰，装潢
そうび 装備 装备，配备；装备品，设备
そうち 装置 设备，装置；机关，构造
そうしょく 装飾 装饰；装饰品
うら 裏 1. 物体的背面、反面；2. 事物的内幕、内情；3. （与正面相对的）里面、内侧；4. （衣服等的）里子。
うらづける 裏付ける 1. 证实，印证，证明；2. 从背后支撑、支持
うらぎる 裏切る 背叛；违背；辜负；叛变；背离
うらぐち 裏口 1. 后门；背面的门。2. 不正当的途径，走后门
うらまき 裏巻き 1. 夹心卷；2. 翻转卷（如把紫菜卷在里面的寿司等）
うらおもて 裏表 ①表面和里面；②正面和反面；③比喻表里相反的情况，如反穿衣物；④形容人的言行、态度等表里不一
うらがえし 裏返し 1. 翻转，翻过来；2. 表里相反；3. 反证
うらがえす 裏返す 翻过来；颠倒；推翻（说法等）
うらもん 裏門 后门；（事物的）背后，幕后
ゆうふく 裕福 富裕，富足，有钱
おぎなう 補う 1. 补充；增添。2. 补偿，弥补。3. 补充（人员等）；补（缺）。
ほしゅう 補修 修补；修理；修复（破損・故障したものを直すこと。修理すること）
ほしょう 補償 补偿，赔偿；弥补
ほじゅう 補充 1. 不足の分を加えて、十分な量にすること。/补充，补足。2. 必要な物や情報を加えること。/增添，追加。
ほじょ 補助 补助，辅助；给予物质上的帮助或在工作等方面提供协助
ほきょう 補強 加强，强化；加固，补强（建筑物、机械等结构）
ほきゅう 補給 补给，补充；（军事上的）给养补充
ほこう 補講 补课，补习；补充讲解
ほそく 補足 补充；补足；补充说明
はだか 裸 裸体；裸露的状态；身上没有穿戴衣物或携带物品
はだし 裸足 光脚，赤脚；光着的脚
せいさく 製作 制作；制造，生产（不仅限于工业产品，也可用于艺术作品、影视作品等的创作等）
せいひん 製品 产品；制品
せいほう 製法 制造方法；制作方法
せいぞう0 製造 制造，生产；制作，生产（物品等）
せいぞうします 製造します 生产，制造；制作
ふくしゃ 複写 抄写，誊写；复印
ふくごう 複合 复合；合成；组合
ふくすう 複数 1. 复数（两个以上的数）；2. （语法中的）复数
ふくざつ 複雑 事物的组成、结构等繁多且交错，不简单
ふくざつさ 複雑さ 复杂；复杂性；复杂程度
ほめる 褒める 称赞，夸奖；表扬；赞赏
ほめたたえる 褒め称える 极力称赞，高度赞扬，盛赞
ほうび 褒美 奖赏，奖励；奖品，奖金
あせる 褪せる 褪色，掉色；（光泽、颜色等）变暗淡；（记忆、印象等）变得淡薄
えり 襟 衣服、衬衫等的领子、衣领；（器物的）边，口
おそう 襲う 1. 袭击，攻击；2. 侵袭，突然降临（如疾病等）；3. 继承；4. 扑向，冲向（猎物等）
しゅうげき 襲撃 突然、急に相手を攻撃すること。袭击，攻击。
しゅうらい 襲来 袭来，来袭；突然来临、到来（多为不好的事物）
にし 西 西面；西；西方；（日本行政区划中的）西部
にしぐち 西口 西侧的出入口
にしび 西日 夕阳；西斜的太阳
せいれき 西暦 公元，公历，阳历
せいよう 西洋 指欧美等西方国家；也可指西方的文化、艺术等方面
ようする 要する 1. 需要，必要；2. 总之，总归，概括地说；3. 摘要，归纳
ようするに 要するに 总之；总而言之；简而言之
いります 要ります 要，需要；必要，必需
いる 要る 需要；必要；花费（时间等）
よういん 要因 导致某种结果的重要原因、主要因素
ようさい 要塞 在军事上具有重要战略意义的、难以攻克的据点或地区
ようし 要旨 要点，主要内容；主旨，要义
ようぼう 要望 要求；希望；期望
ようきゅう 要求 要求，请求；需要
ようてん 要点 重要な点、肝要な点。主要な点。
ようそ 要素 要素；因素；元素
ようせい 要請 请求，恳求，要求；要求事项
ようりょう 要領 要领，要点；窍门；适当，得宜
おおう 覆う 1. 蒙上，盖上；2. 掩盖（事实、缺点等）；3. 覆盖；4. 笼罩
くつがえす 覆す 1. 打翻，弄翻（物をひっくり返す。転げ落とす）；2. 推翻，颠覆（制度・政権などをひっくり返す。壊す）；3. 覆盖，遮盖（物を上からかぶせる）
ふくすい 覆水 覆水，泼出去的水，比喻无法挽回的事物
ふくめん 覆面 蒙面；戴假面具；匿名
はけん 覇権 霸权；（比赛等中的）绝对优势地位、冠军地位
みえます 見えます 能看见；映入眼帘；显得，看起来
みえる 見える 1. 看得见，能够看到；2. 显得，看起来；3. （事情等）可以理解，能看出
みかける 見かける 1. 乍一看，看起来；2. 偶然看到，碰见
みせかける 見せかける 假装，伪装；表面上看起来
みせびらかす 見せびらかす 炫耀，卖弄；显示，夸示
みせます 見せます 出示；给……看；让……看；显示；表现出
みせる 見せる 让（别人）看，展示；使呈现出，使显得
みため 見た目 外观，外表，外表上看起来的样子
みつかります 見つかります 被找到，被发现；（自动词）找到，发现（强调结果）
みつかる 見つかる 被找到，被发现；（自然地）找到，发现；偶然遇见
みつけます 見つけます 找到，发现；（有意识地）看见；找到（解决办法等）
みつめる 見つめる 凝视，注视；盯着看
みどころ 見どころ 值得看的地方；看点；精彩之处
みなす 見なす 把……看作，认为……是；当作，视为
みます 見ます 看；看见；观看；看望；查看
みられる 見られる 1. 能看见，看得见；2. 被看见；3. 可以观看；4. 看起来像，显得；5. （敬语）看（他人的行为等）；6. （可能态）能够看，有能力看
みる 見る 看，观看；视为，看作；对待；体验，经历；访问，拜访；诊治，看病
みあげる 見上げる 向上看，仰望；抬头看；（价格、地位等）上升，上涨；（对某人）尊敬，仰慕
みおろす 見下ろす 1. 俯视，从高处往下看；2. 轻视，看不起
みせもの 見世物 杂耍，小节目；供观赏的东西，稀奇的事物；出洋相的人，笑柄
みごと 見事 精彩，出色；完美，漂亮；完全，彻底
みつける 見付ける 找到；发现；看出；觉得
みいる 見入る 看得入迷；目不转睛地看；凝视；注视
みいだす 見出す 1. 找出，查出；发现。2. 开始出现，呈现出。3. 开头写，在开头注明。4. 突出，显眼。
みわける 見分ける 识别；鉴别，辨别；区分，区别
みきる 見切る 1. 看到最后，看完；2. 断念，死心，放弃；3. 看透，看穿；4. （在比赛等中）判定（一方）获胜
みぎり 見劣り 逊色，相形见绌；（外观等）显得不好看
みあい 見合い 相亲；互相看；暂停，搁置；匹配，相称
みあわせる 見合わせる 1. 互相看；对视。2. 比较，考量；权衡。3. 暂缓，推迟；暂停。4. （婚姻等的）相亲
みまわす 見回す 1. 环视四周；四下张望。2. 察看，查看。3. 照顾，照料
みまわる 見回る 环顾，环视；巡视，巡逻；查看，察看
けんち 見地 见解，立场，观点；视野，眼界
けんがく 見学 参观，观摩；见习
けんがくします 見学します 参观；见习
みまもる 見守る 注视；守护；照看；关注（发展等）
みはる 見張る 1. 监视，看守；2. 守望，警戒；3. 照看，照料；4. 目不转睛地看，注视
けんとう 見当 1. 估计，推测；2. 大致的标准、头绪；3. 方向；4. 大约，左右
みあたる 見当たる 能看到；能找到；能发现；看上去像
みなれる 見慣れる 看惯，看熟；对……习以为常
みどころ 見所 1. 吸引人的地方，看点；2. 长处，优点，可取之处；3.（文章、绘画等的）精彩之处
みぬく 見抜く 看穿，看透；识破；预见，预料到
みすてる 見捨てる 抛弃，遗弃；不顾，舍弃；放弃
みさえる 見据える 1. 目不转睛地看；凝视。2. 看准；考虑到；展望。3. 以…为目标；着眼于。
みかけ 見掛け 外观，外表；表面上，看上去
みかける 見掛ける 1. 看起来，显得；2. 乍一看；3. 偶然看到，碰见
みそこなう 見損なう 看错；错过看的机会；估计错误；错过（时机等）
みかた 見方 看法，见解；看待事物的角度、方式
みはらし 見晴らし 1. 眺望，远眺；2. 视野；3. 景致，景色
みほん 見本 样品，样本；榜样，模范
みえ 見栄え 外观，外表；（显得）好看，美观
みきわめる 見極める 看清，看透（本质等）；弄清楚，辨别；判断，断定
みわたします 見渡します 1. 眺望，远眺；2. 放眼望去，环视；3. 展望，预测
みわたす 見渡す 1. 放眼望去，远望；2. 环视，环顾；3. 展望，展望未来；4. 涉及，包括
みわたすかぎり 見渡す限り 放眼所及之处；在能看到的范围内；一望无际
けんぶつ 見物 1. 游览，观光；2. 看热闹；3. 观赏，观看
みなおし 見直し 重新审视；重新评价；修改，更改
みなおす 見直す 1. 重新看；重阅。2. 重新审查；重新考虑。3. 改变对…的看法；另眼相看。
みとおる 見破る 识破，看穿，看透；预见，预料到
みつもり 見積もり 估计；估算；估价；预计；预测；概算
みつもる 見積もる ① 估计，估算，推测；② 预期，预料；③ 评价，估量
みならう 見習う 1. 学习，练习；2. 以……为榜样，效仿；3. 观摩，见习
けんぶん 見聞 见闻，见识；看到和听到的事情
みまい 見舞い 1. 探望，慰问；2. 慰问品；3. 疾病、灾害等的侵袭
みまう 見舞う 1. 探望，慰问；2. 遭受（灾害等）；3. 降临，侵袭（多用于自然现象或疾病等）
みぐるしい 見苦しい 难看的，寒碜的；丢脸的；不像样的
みおとす 見落とす 看漏，没看出来，忽略；遗漏，没注意到
みあき 見覚え 1. 眼熟，面熟；2. 模糊的记忆，隐约的印象
けんかい 見解 见解，看法
みはからう 見計らう ①估量，估计；②斟酌，考虑
みあやまる 見誤る 看错，看差；错认；判断失误
けんしき 見識 见地，见识，鉴赏力
みこみ 見込み 1. 预料，估计；2. 可能性；3. 预期，预计；4. 前景，前途；5. 顾客，主顾
みこみます 見込みます 预料，估计；预计，打算；认为，觉得；有希望，有可能；估计会，预计会
みこむ 見込む 1. 预料，估计；2. 预测，推测；3. 有希望，有望；4. 打算，计划；5. 估计到，考虑到；6. 看准，看中
みかえす 見返す 1. 回头看；2. 重看，再看一遍；3. 回看，对视；4. 争气；5. 挽回，恢复（名誉、损失等）；6. 报答，回报
みおくり 見送り 送行；目送；展望，预见
みおくる 見送る 1. 目送；送别。（人や物を去っていく方向を見つめる。見送りをする。） 2. 搁置；放弃不管。（自らの手で行うつもりをやめる。） 3. 旁观；不参与。（ある出来事や行動に関係なく、傍から見る。）
みのがす 見逃す 1. 看漏，没看见；2. 错过（机会等）；3. 放过，饶恕，不追究
みとおし 見通し 1. 眺望；视野。2. （对前景的）预料，推测；展望。
みすごす 見過ごす 1. 看漏，没看到；2. 饶恕，放过；3. 忽略，忽视
みちがえる 見違える （因为变化大而）认不出，简直不敢相信是同一人或物；看错
みごろ 見頃 （景色、果实等）最美好、最适宜观赏或收获的时期；（人）最有魅力、状态最佳的时期
みあきる 見飽きる 看厌，看腻；看够
きそく 規則 规则，规章，规定；整齐，规律
きそくただしい 規則正しい 有规律；整齐；合乎规则，规矩
きてい 規定 规定；规则；章程；条例
きりつ 規律 1. 规律；2. 纪律，规章
きかく 規格 规格；标准；规范
きぼ 規模 规模；范围
しさつ 視察 实地观察、考察；视察
しさつだん 視察団 进行视察的团体；视察团。
してん 視点 视点，角度；观点，看法
しせん 視線 视线；目光
しちょう 視聴 视听；收看；收听；观看；关注
しちょうりつ 視聴率 指某一节目在特定时间段内，观看该节目的家庭或个人数量占拥有电视机的家庭或个人总数的百分比，即收视率。
しちょうしゃ 視聴者 观众，听众；收视者，收听者
しかく 視覚 视觉；视力；目力
しや 視野 视野；眼界
のぞく 覗く 窥视；偷看；从缝隙等中看；略微露出；稍微涉及
おぼえ 覚え 1. 记忆，记忆力；2. 记住的事物，记忆的内容；3. 经验，体验；4. （对人的）信任，信赖；5. （做某事的）信心，把握
おぼえます 覚えます 记住；记得；学会；感觉；体验
おぼえる 覚える 记住；学会，掌握；感觉到，意识到
さます 覚ます 弄醒，叫醒；使……清醒；唤起，引起（某种情感、记忆等）
さめる 覚める 醒来；清醒，醒悟；从（某种状态）恢复；（味道、感觉等）消失，减退
かくご 覚悟 思想准备，决心；觉悟；死心，认输
おぼつかない 覚束ない 不可靠的；不确实的；令人不放心的
かくせい 覚醒 醒悟；觉醒；觉悟；苏醒
かくせいざい 覚醒剤 兴奋剂，刺激性药物
おや 親 父母，双亲；亲人；对幼儿等的称呼，指父母；（动植物的）原种，原株；起源，本源；（比赛等的）观众，支持者
したしい 親しい 亲密的，亲切的；熟悉的
したしむ 親しむ 亲近，亲密；爱好，喜好；熟悉，习惯
したしむ 親しむ 1. 亲近，亲密，要好；2. 喜欢，喜爱；3. 习惯，适应
しんきょうだい 親兄弟 亲兄弟；亲兄弟姐妹
しんせつ 親切 亲切，热情；好意，关照；帮忙，照顾
しんせつ［な］ 親切［な］ 亲切（的）；热情（的）；和蔼（的）；体贴（的）
しんゆう 親友 非常要好的朋友，挚友；密友，至交
しんぜんたいし 親善大使 代表国家、组织等进行友好交流活动的人，友好大使，亲善大使
おやこ 親子 父母和子女；（动物的）母子；（烹饪用语）鸡肉鸡蛋（料理）
おやこどん 親子丼 名。以鸡肉和鸡蛋为主要食材，盖在米饭上的日式盖饭
おやこうこう 親孝行 孝顺父母；孝顺的行为；孝子，孝女
おやごころ 親心 父母的慈爱；（父母般的）亲切关怀
しんせき 親戚 亲戚，亲属
おやゆび 親指 大拇指；拇指
おやかた 親方 老板；头目；师傅；师傅（对工匠、艺人等的尊称）
おやじ 親父 （语气随意）父亲，爸爸；（对老年男子的随意称呼）老大爷，老头儿
しんきんかん 親近感 亲近感，亲切感，亲密感
しんるい 親類 亲戚；亲属；同类
かんこう 観光 观光，游览
かんこうスポット 観光スポット 旅游景点，观光景点
かんこうち 観光地 观光胜地，旅游胜地
かんこうきゃく 観光客 游客，观光的人
かんきゃく 観客 观众，听众
かんさつ 観察 观察；观测；考察
かんねん 観念 1. 观念，想法；2. 死心，想开，认命
かんそく 観測 观察、观测；（用仪器等）测量
かど 角 角；拐角，转弯处；角落；棱角；方面
かくど 角度 1. 两条直线或两个平面相交而形成的角。2. 看事物的出发点、观点。
とく 解く 解开；解决，解答；阐明，解释；消除，解除
とける 解ける 解开；融化；消除（气、紧张等情绪）；解除（合同、约束等）；（数学题等）解开；（谜等）被解开
かいとう 解凍 解冻，化开（使冻结的东西恢复到原来的状态）
かいぼう 解剖 1. 医学、生物学用语，指切开生物体，以研究其内部构造。2. 对事物进行深入分析、剖析。
かいほう 解放 1. 解除束缚，使自由。2. 从某种状态或限制中摆脱出来。
かいさん 解散 （团体、组织等）解散；（会议等）散会；（物体等）解体
かいめいする 解明する 弄清楚，查明，阐明
かいけつ 解決 解决；处理完毕；问题等得到解决的状态
かいけつする 解決する 解决；处理；解答
かいしょうする 解消 缓解；解除；取消；消灭；消除（紧张、不安等情绪）
かいとう 解答 解答；答案；解决（问题等）
かいやく 解約 解约，解除合同，废除契约
かいせつ 解説 解说；讲解；说明
かいしゃく 解釈 解释，说明；注解，注释
かいじょ 解除 ①法律や規則、契約などを取り消すこと。廃止すること。②（制限や束縛などを）とること。
かいこ 解雇 雇用を解消すること。職を失わせること。
かいこする 解雇する 解雇，开除；免职
さわります 触ります 1. 触摸，触碰；2. 触及，涉及；3. 触犯，冒犯
さわる 触る 1. 触摸，触碰；2. 牵涉，涉及；3. 略微触及，略谈
ふれる 触れる 1. 触摸，碰；2. 触及，涉及；3. 感动，触动
ふれあい 触れ合い 相互接触；交往，交际
ふれあう 触れ合う 互相接触；互相交往、交流
いいそびれる 言いそびれる 没能及时说出，错过时机而没说出口
いいつける 言いつける 命令；吩咐；嘱咐；告发，告状
いいます 言います 说；讲；告诉；表达
いいよどむ 言いよどむ 欲言又止，吞吞吐吐
いいつける 言い付ける 1. 命令，吩咐；2. 告状；3. 经常说；4. （向神佛等）许愿，祈求
いいつたえる 言い伝える 传达，转告；流传；言传，口传
いいだす 言い出す 开始说；说出，讲出
いいぶん 言い分 辩解；借口；说法；主张；理由
いいあい 言い合い 互相说；争论，争吵，吵架
